"","bee","bee.genus","bee.subgenus"
"180","Lasioglossum (Chilalictus) albopilosum","Lasioglossum","Lasioglossum (Chilalictus)"
"181","Lasioglossum (Chilalictus) amplexum","Lasioglossum","Lasioglossum (Chilalictus)"
"182","Lasioglossum (Chilalictus) amplexum","Lasioglossum","Lasioglossum (Chilalictus)"
"183","Lasioglossum (Chilalictus) amplexum","Lasioglossum","Lasioglossum (Chilalictus)"
"184","Lasioglossum (Chilalictus) amplexum","Lasioglossum","Lasioglossum (Chilalictus)"
"185","Lasioglossum (Chilalictus) amplexum","Lasioglossum","Lasioglossum (Chilalictus)"
"186","Lasioglossum (Chilalictus) amplexum","Lasioglossum","Lasioglossum (Chilalictus)"
"187","Lasioglossum (Chilalictus) amplexum","Lasioglossum","Lasioglossum (Chilalictus)"
"188","Lasioglossum (Chilalictus) amplexum","Lasioglossum","Lasioglossum (Chilalictus)"
"189","Lasioglossum (Chilalictus) amplexum","Lasioglossum","Lasioglossum (Chilalictus)"
"190","Lasioglossum (Chilalictus) amplexum","Lasioglossum","Lasioglossum (Chilalictus)"
"191","Lasioglossum (Chilalictus) appositum","Lasioglossum","Lasioglossum (Chilalictus)"
"192","Lasioglossum (Chilalictus) appositum","Lasioglossum","Lasioglossum (Chilalictus)"
"193","Lasioglossum (Chilalictus) appositum","Lasioglossum","Lasioglossum (Chilalictus)"
"194","Lasioglossum (Chilalictus) appositum","Lasioglossum","Lasioglossum (Chilalictus)"
"195","Lasioglossum (Chilalictus) appositum","Lasioglossum","Lasioglossum (Chilalictus)"
"196","Lasioglossum (Chilalictus) appositum","Lasioglossum","Lasioglossum (Chilalictus)"
"197","Lasioglossum (Chilalictus) appositum","Lasioglossum","Lasioglossum (Chilalictus)"
"198","Lasioglossum (Chilalictus) appositum","Lasioglossum","Lasioglossum (Chilalictus)"
"199","Lasioglossum (Chilalictus) asperithorax","Lasioglossum","Lasioglossum (Chilalictus)"
"200","Lasioglossum (Chilalictus) asperithorax","Lasioglossum","Lasioglossum (Chilalictus)"
"201","Lasioglossum (Chilalictus) asperithorax","Lasioglossum","Lasioglossum (Chilalictus)"
"202","Lasioglossum (Chilalictus) asperithorax","Lasioglossum","Lasioglossum (Chilalictus)"
"203","Lasioglossum (Chilalictus) asperithorax","Lasioglossum","Lasioglossum (Chilalictus)"
