"","source","target","value"
"217","Lasioglossum (Chilalictus) biceps","Hakea tephrosperma",4
"218","Lasioglossum (Chilalictus) biceps","Wahlenbergia sp",1
"219","Lasioglossum (Chilalictus) bicingulatum","Angophora floribunda",12
"220","Lasioglossum (Chilalictus) bicingulatum","Callistemon sp",3
"221","Lasioglossum (Chilalictus) bicingulatum","Eucalyptus albens",2
"222","Lasioglossum (Chilalictus) bicingulatum","Eucalyptus canaliculata",2
"223","Lasioglossum (Chilalictus) bicingulatum","Eucalyptus punctata",1
"224","Lasioglossum (Chilalictus) bicingulatum","Eucalyptus sp",4
"225","Lasioglossum (Chilalictus) bicingulatum","Leptospermum polygalifolium",2
"226","Lasioglossum (Chilalictus) bicingulatum","Leptospermum sp",1
"227","Lasioglossum (Chilalictus) bicingulatum","Ligustrum lucidum",1
"228","Lasioglossum (Chilalictus) bicingulatum","Lophostemon confertus",1
"229","Lasioglossum (Chilalictus) bicingulatum","Melaleuca quinquinerva",2
"230","Lasioglossum (Chilalictus) bicingulatum","Melaleuca sp",1
"231","Lasioglossum (Chilalictus) bicingulatum","Monotoca scoparia",1
"232","Lasioglossum (Chilalictus) bicingulatum","Syncarpia glomulifera",1
"233","Lasioglossum (Chilalictus) bicingulatum","Syzygium sp",1
"234","Lasioglossum (Chilalictus) bicolor","Calytrix tetragona",2
"235","Lasioglossum (Chilalictus) bidentulatum","Abutilon otocarpum",2
"236","Lasioglossum (Chilalictus) bidentulatum","Disphyma crassifolium",2
"237","Lasioglossum (Chilalictus) bidentulatum","Eremophila gilesii",1
"238","Lasioglossum (Chilalictus) brazieri","Hakea sp",1
"239","Lasioglossum (Chilalictus) brazieri","Leucopogon lanceolatus",4
"240","Lasioglossum (Chilalictus) brazieri","Phyllota grandiflora",1
"241","Lasioglossum (Chilalictus) brazieri","Pultenaea linophylla",1
"242","Lasioglossum (Chilalictus) brazieri","Ranunculus sp",2
"243","Lasioglossum (Chilalictus) brazieri","Senecio amygdalifolia",2
"244","Lasioglossum (Chilalictus) brazieri","Wahlenbergia sp",3
"245","Lasioglossum (Chilalictus) brunnesetum","Taraxacum officinale",2
"246","Lasioglossum (Chilalictus) brunnesetum","Bursaria spinosa",1
"247","Lasioglossum (Chilalictus) brunnesetum","Cassinia laevis",4
"248","Lasioglossum (Chilalictus) brunnesetum","Cassinia uncata",5
"249","Lasioglossum (Chilalictus) brunnesetum","Pultenaea microphylla",1
"250","Lasioglossum (Chilalictus) brunnesetum","Scaevola ramosissima",1
"251","Lasioglossum (Chilalictus) bucculum","Eremophila sturtii",2
"252","Lasioglossum (Chilalictus) bucculum","Frankenia pseudoflabellata",7
"253","Lasioglossum (Chilalictus) calophyllae","Eremophila scoparia",1
"254","Lasioglossum (Chilalictus) calophyllae","Eucalyptus bridgesiana",1
"255","Lasioglossum (Chilalictus) calophyllae","Eucalyptus leucoxylon",1
"256","Lasioglossum (Chilalictus) calophyllae","Eucalyptus yalatensis",2
"257","Lasioglossum (Chilalictus) calophyllae","Leptospermum sp",1
"258","Lasioglossum (Chilalictus) calophyllae","Olearia sp",1
"259","Lasioglossum (Chilalictus) cambagei","Dianella sp",1
"260","Lasioglossum (Chilalictus) cambagei","Eremophila mitchellii",2
"261","Lasioglossum (Chilalictus) cambagei","Mirbelia platylobioides",1
"262","Lasioglossum (Chilalictus) cambagei","Senna sp",1
"263","Lasioglossum (Chilalictus) carpobrotum","Disphyma crassifolium",8
"264","Lasioglossum (Chilalictus) castor","Callistemon sp",1
"265","Lasioglossum (Chilalictus) castor","Kunzea sp",1
"266","Lasioglossum (Chilalictus) chapmani","Acacia buxifolia",1
"267","Lasioglossum (Chilalictus) chapmani","Bursaria spinosa",2
"268","Lasioglossum (Chilalictus) chapmani","Eremophila deserti",1
"269","Lasioglossum (Chilalictus) chapmani","Eucalyptus piperita",1
"270","Lasioglossum (Chilalictus) chapmani","Eucalyptus sp",1
"271","Lasioglossum (Chilalictus) chapmani","Goodenia bellidifolia",1
"272","Lasioglossum (Chilalictus) chapmani","Melaleuca sp",2
"273","Lasioglossum (Chilalictus) chapmani","Micromyrtus blakelyi",1
"274","Lasioglossum (Chilalictus) chapmani","Phyllota phylicoides",1
"275","Lasioglossum (Chilalictus) chapmani","Scabiosa sp",1
"276","Lasioglossum (Chilalictus) chapmani","Xerochrysum bracteatum",2
"277","Lasioglossum (Chilalictus) clelandi","Taraxacum officinale",2
"278","Lasioglossum (Chilalictus) clelandi","Bulbine bulbosa",1
"279","Lasioglossum (Chilalictus) clelandi","Daviesia mimosoides",3
"280","Lasioglossum (Chilalictus) clelandi","Hardenbergia violacea",4
"281","Lasioglossum (Chilalictus) clelandi","Hebe sp",1
"282","Lasioglossum (Chilalictus) clelandi","Hibbertia rufa",1
"283","Lasioglossum (Chilalictus) clelandi","Isopogon anemonifolius",1
"284","Lasioglossum (Chilalictus) clelandi","Melaleuca decussata",3
"285","Lasioglossum (Chilalictus) clelandi","Phyllota phylicoides",1
"286","Lasioglossum (Chilalictus) clelandi","Platylobium sp",1
"287","Lasioglossum (Chilalictus) clelandi","Pultenaea flexilis",1
"288","Lasioglossum (Chilalictus) clelandi","Pultenaea linophylla",3
"289","Lasioglossum (Chilalictus) clelandi","Pultenaea microphylla",2
"290","Lasioglossum (Chilalictus) clelandi","Pultenaea procumbens",1
"291","Lasioglossum (Chilalictus) clelandi","Pultenaea scabra",1
"292","Lasioglossum (Chilalictus) clelandi","Pultenaea sp",1
"293","Lasioglossum (Chilalictus) clelandi","Pultenaea subspicata",2
"294","Lasioglossum (Chilalictus) clelandi","Ranunculus sp",1
"295","Lasioglossum (Chilalictus) clelandi","Wahlenbergia sp",3
"296","Lasioglossum (Chilalictus) cognatum","Taraxacum officinale",4
"297","Lasioglossum (Chilalictus) cognatum","Calotis cuneifolia",1
"298","Lasioglossum (Chilalictus) cognatum","Calotis sp",2
"299","Lasioglossum (Chilalictus) cognatum","Disphyma crassifolium",2
"300","Lasioglossum (Chilalictus) cognatum","Eremophila bowmanii",1
"301","Lasioglossum (Chilalictus) cognatum","Eremophila deserti",3
"302","Lasioglossum (Chilalictus) cognatum","Eremophila gilesii",4
"303","Lasioglossum (Chilalictus) cognatum","Eremophila polyclada",3
"304","Lasioglossum (Chilalictus) cognatum","Eucalyptus sp",1
"305","Lasioglossum (Chilalictus) cognatum","Goodenia macbarronii",1
"306","Lasioglossum (Chilalictus) cognatum","Leucochrysum albicans",6
"307","Lasioglossum (Chilalictus) cognatum","Melaleuca decussata",5
"308","Lasioglossum (Chilalictus) cognatum","Polycalymma stuartii",3
"309","Lasioglossum (Chilalictus) cognatum","Ptilotus helipteroides",2
"310","Lasioglossum (Chilalictus) cognatum","Pultenaea procumbens",1
"311","Lasioglossum (Chilalictus) cognatum","Reichardia tingitana",2
"312","Lasioglossum (Chilalictus) cognatum","Sida sp",1
"313","Lasioglossum (Chilalictus) cognatum","Swainsona swainsonioides",1
"314","Lasioglossum (Chilalictus) cognatum","Wahlenbergia sp",42
"315","Lasioglossum (Chilalictus) convexum","Angophora hispida",1
"316","Lasioglossum (Chilalictus) convexum","Boronia ledifolia",2
"317","Lasioglossum (Chilalictus) convexum","Bursaria spinosa",2
"318","Lasioglossum (Chilalictus) convexum","Cryptandra spinescens",1
"319","Lasioglossum (Chilalictus) convexum","Eremophila mitchellii",1
"320","Lasioglossum (Chilalictus) convexum","Goodenia bellidifolia",1
"321","Lasioglossum (Chilalictus) convexum","Hibbertia sp",1
"322","Lasioglossum (Chilalictus) convexum","Jacksonia scoparia",1
"323","Lasioglossum (Chilalictus) convexum","Monotoca scoparia",1
"324","Lasioglossum (Chilalictus) convexum","Platysace linearifolia",1
"325","Lasioglossum (Chilalictus) convexum","Prostanthera scutellarioides",1
"326","Lasioglossum (Chilalictus) convexum","Pultenaea microphylla",3
"327","Lasioglossum (Chilalictus) convexum","Pultenaea villosa",1
"328","Lasioglossum (Chilalictus) convexum","Scaevola sp",4
"329","Lasioglossum (Chilalictus) demicapillum","Wahlenbergia sp",11
"330","Lasioglossum (Chilalictus) ebeneum","Bossiaea heterophylla",1
"331","Lasioglossum (Chilalictus) ebeneum","Calotis cuneifolia",1
"332","Lasioglossum (Chilalictus) ebeneum","Corymbia terminalis",1
"333","Lasioglossum (Chilalictus) ebeneum","Dianella longifolia",2
